Number,Name,Classification,Height,Weight,Typings,Abilities,Base Stat Total,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
#284,Masquerain,Eyeball Pokémon,"['2\'07""', '0.8m']","['7.9lbs', '3.6kg']","['Bug', 'Flying']","['Intimidate', 'Unnerve']",454,70,60,62,100,82,80
#285,Shroomish,Mushroom Pokémon,"['1\'04""', '0.4m']","['9.9lbs', '4.5kg']",['Grass'],"['Effect Spore', 'Poison Heal', 'Quick Feet']",295,60,40,60,40,60,35
#286,Breloom,Mushroom Pokémon,"['3\'11""', '1.2m']","['86.4lbs', '39.2kg']","['Grass', 'Fighting']","['Effect Spore', 'Poison Heal', 'Technician']",460,60,130,80,60,60,70
#287,Slakoth,Slacker Pokémon,"['2\'07""', '0.8m']","['52.9lbs', '24kg']",['Normal'],['Truant'],280,60,60,60,35,35,30
#288,Vigoroth,Wild Monkey Pokémon,"['4\'07""', '1.4m']","['102.5lbs', '46.5kg']",['Normal'],['Vital Spirit'],440,80,80,80,55,55,90
#289,Slaking,Lazy Pokémon,"['6\'07""', '2m']","['287.7lbs', '130.5kg']",['Normal'],['Truant'],670,150,160,100,95,65,100
#290,Nincada,Trainee Pokémon,"['1\'08""', '0.5m']","['12.1lbs', '5.5kg']","['Bug', 'Ground']","['Compoundeyes', 'Run Away']",266,31,45,90,30,30,40
#291,Ninjask,Ninja Pokémon,"['2\'07""', '0.8m']","['26.5lbs', '12.0kg']","['Bug', 'Flying']","['Speed Boost', 'Infiltrator']",456,61,90,45,50,50,160
#292,Shedinja,Shed Pokémon,"['2\'07""', '0.8m']","['2.6lbs', '1.2kg']","['Bug', 'Ghost']",['Wonder Guard'],236,1,90,45,30,30,40
#293,Whismur,Whisper Pokémon,"['2\'00""', '0.6m']","['35.9lbs', '16.3kg']",['Normal'],"['Soundproof', 'Rattled']",240,64,51,23,51,23,28
#294,Loudred,Big Voice Pokémon,"['3\'03""', '1.0m']","['89.3lbs', '40.5kg']",['Normal'],"['Soundproof', 'Scrappy']",360,84,71,43,71,43,48
#295,Exploud,Loud Noise Pokémon,"['4\'11""', '1.5m']","['185.2lbs', '84.0kg']",['Normal'],"['Soundproof', 'Scrappy']",490,104,91,63,91,73,68
#296,Makuhita,Guts Pokémon,"['3\'03""', '1m']","['190.5lbs', '86.4kg']",['Fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",237,72,60,30,20,30,25
#297,Hariyama,Arm Thrust Pokémon,"['7\'07""', '2.3m']","['559.5lbs', '253.8kg']",['Fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",474,144,120,60,40,60,50
#298,Azurill,Polka Dot Pokémon,"['0\'08""', '0.2m']","['4.4lbs', '2.0kg']","['Normal', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",190,50,20,40,20,40,20
#299,Nosepass,Compass Pokémon,"['3\'03""', '1m']","['213.8lbs', '97kg']",['Rock'],"['Sturdy', 'Magnet Pull', 'Sand Force']",375,30,45,135,45,90,30
#300,Skitty,Kitten Pokémon,"['2\'00""', '0.6m']","['24.3lbs', '11kg']",['Normal'],"['Cute Charm', 'Normalize', 'Wonder Skin']",260,50,45,45,35,35,50
#301,Delcatty,Prim Pokémon,"['3\'07""', '1.1m']","['71.9lbs', '32.6kg']",['Normal'],"['Cute Charm', 'Normalize', 'Wonder Skin']",400,70,65,65,55,55,90
#302,Sableye,Darkness Pokémon,"['1\'08""', '0.5m']","['24.3lbs', '11.0kg']","['Dark', 'Ghost']","['Keen Eye', 'Stall', 'Prankster']",380,50,75,75,65,65,50
#303,Mawile,Deceiver Pokémon,"['2\'00""', '0.6m']","['25.4lbs', '11.5kg']","['Steel', 'Fairy']","['Hyper Cutter', 'Intimidate', 'Sheer Force']",380,50,85,85,55,55,50
#304,Aron,Iron Armor Pokémon,"['1\'04""', '0.4m']","['132.3lbs', '60.0kg']","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",330,50,70,100,40,40,30
#305,Lairon,Iron Armor Pokémon,"['2\'11""', '0.9m']","['264.6lbs', '120.0kg']","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",430,60,90,140,50,50,40
#306,Aggron,Iron Armor Pokémon,"['6\'11""', '2.1m']","['793.7lbs', '360.0kg']","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",530,70,110,180,60,60,50
#307,Meditite,Meditate Pokémon,"['2\'00""', '0.6m']","['24.7lbs', '11.2kg']","['Fighting', 'Psychic']","['Pure Power', 'Telepathy']",280,30,40,55,40,55,60
#308,Medicham,Meditate Pokémon,"['4\'03""', '1.3m']","['69.4lbs', '31.5kg']","['Fighting', 'Psychic']","['Pure Power', 'Telepathy']",410,60,60,75,60,75,80
#309,Electrike,Lightning Pokémon,"['2\'00""', '0.6m']","['33.5lbs', '15.2kg']",['Electric'],"['Static', 'Lightning Rod', 'Minus']",295,40,45,40,65,40,65
#310,Manectric,Discharge Pokémon,"['4\'11""', '1.5m']","['88.6lbs', '40.2kg']",['Electric'],"['Static', 'Lightning Rod', 'Minus']",475,70,75,60,105,60,105
#311,Plusle,Cheering Pokémon,"['1\'04""', '0.4m']","['9.3lbs', '4.2kg']",['Electric'],"['Plus', 'Lightning Rod']",405,60,50,40,85,75,95
#312,Minun,Cheering Pokémon,"['1\'04""', '0.4m']","['9.3lbs', '4.2kg']",['Electric'],"['Minus', 'Volt Absorb']",405,60,40,50,75,85,95
#313,Volbeat,Firefly Pokémon,"['2\'04""', '0.7m']","['39.0lbs', '17.7kg']",['Bug'],"['Illuminate', 'Swarm', 'Prankster']",430,65,73,75,47,85,85
#314,Illumise,Firefly Pokémon,"['2\'00""', '0.6m']","['39.0lbs', '17.7kg']",['Bug'],"['Oblivious', 'Tinted Lens', 'Prankster']",430,65,47,75,73,85,85
#315,Roselia,Thorn Pokémon,"['1\'00""', '0.3m']","['4.4lbs', '2.0kg']","['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",400,50,60,45,100,80,65
#316,Gulpin,Stomach Pokémon,"['1\'04""', '0.4m']","['22.7lbs', '10.3kg']",['Poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",302,70,43,53,43,53,40
#317,Swalot,Poison Bag Pokémon,"['5\'07""', '1.7m']","['176.4lbs', '80kg']",['Poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",467,100,73,83,73,83,55
#318,Carvanha,Savage Pokémon,"['2\'07""', '0.8m']","['45.9lbs', '20.8kg']","['Water', 'Dark']","['Rough Skin', 'Speed Boost']",305,45,90,20,65,20,65
#319,Sharpedo,Brutal Pokémon,"['5\'11""', '1.8m']","['195.8lbs', '88.8kg']","['Water', 'Dark']","['Rough Skin', 'Speed Boost']",460,70,120,40,95,40,95
#320,Wailmer,Ball Whale Pokémon,"['6\'07""', '2.0m']","['286.6lbs', '130.0kg']",['Water'],"['Water Veil', 'Oblivious', 'Pressure']",400,130,70,35,70,35,60
#321,Wailord,Float Whale Pokémon,"['47\'07""', '14.5m']","['877.4lbs', '398.0kg']",['Water'],"['Water Veil', 'Oblivious', 'Pressure']",500,170,90,45,90,45,60
#322,Numel,Numb Pokémon,"['2\'04""', '0.7m']","['52.9lbs', '24kg']","['Fire', 'Ground']","['Oblivious', 'Simple', 'Own Tempo']",305,60,60,40,65,45,35
#323,Camerupt,Eruption Pokémon,"['6\'03""', '1.9m']","['485.0lbs', '220kg']","['Fire', 'Ground']","['Magma Armor', 'Solid Rock', 'Anger Point']",460,70,100,70,105,75,40
#324,Torkoal,Coal Pokémon,"['1\'08""', '0.5m']","['177.2lbs', '80.4kg']",['Fire'],"['White Smoke', 'Drought', 'Shell Armor']",470,70,85,140,85,70,20
#325,Spoink,Bounce Pokémon,"['2\'04""', '0.7m']","['67.5lbs', '30.6kg']",['Psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",330,60,25,35,70,80,60
#326,Grumpig,Manipulate Pokémon,"['2\'11""', '0.9m']","['157.6lbs', '71.5kg']",['Psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",470,80,45,65,90,110,80
#327,Spinda,Spot Panda Pokémon,"['3\'07""', '1.1m']","['11.0lbs', '5kg']",['Normal'],"['Own Tempo', 'Tangled Feet', 'Contrary']",360,60,60,60,60,60,60
#328,Trapinch,Ant Pit Pokémon,"['2\'04""', '0.7m']","['33.1lbs', '15.0kg']",['Ground'],"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",290,45,100,45,45,45,10
#329,Vibrava,Vibration Pokémon,"['3\'07""', '1.1m']","['33.7lbs', '15.3kg']","['Ground', 'Dragon']",['Levitate'],340,50,70,50,50,50,70
#330,Flygon,Mystic Pokémon,"['6\'07""', '2.0m']","['180.8lbs', '82.0kg']","['Ground', 'Dragon']",['Levitate'],520,80,100,80,80,80,100
#331,Cacnea,Cactus Pokémon,"['1\'04""', '0.4m']","['113.1lbs', '51.3kg']",['Grass'],"['Sand Veil', 'Water Absorb']",335,50,85,40,85,40,35
#332,Cacturne,Scarecrow Pokémon,"['4\'03""', '1.3m']","['170.6lbs', '77.4kg']","['Grass', 'Dark']","['Sand Veil', 'Water Absorb']",475,70,115,60,115,60,55
#333,Swablu,Cotton Bird Pokémon,"['1\'04""', '0.4m']","['2.6lbs', '1.2kg']","['Normal', 'Flying']","['Natural Cure', 'Cloud Nine']",310,45,40,60,40,75,50
#334,Altaria,Humming Pokémon,"['3\'07""', '1.1m']","['45.4lbs', '20.6kg']","['Dragon', 'Flying']","['Natural Cure', 'Cloud Nine']",490,75,70,90,70,105,80
#335,Zangoose,Cat Ferret Pokémon,"['4\'03""', '1.3m']","['88.8lbs', '40.3kg']",['Normal'],"['Immunity', 'Toxic Boost']",458,73,115,60,60,60,90
#336,Seviper,Fang Snake Pokémon,"['8\'10""', '2.7m']","['115.7lbs', '52.5kg']",['Poison'],"['Shed Skin', 'Infiltrator']",458,73,100,60,100,60,65
#337,Lunatone,Meteorite Pokémon,"['3\'03""', '1.0m']","['370.4lbs', '168.0kg']","['Rock', 'Psychic']",['Levitate'],460,90,55,65,95,85,70
#338,Solrock,Meteorite Pokémon,"['3\'11""', '1.2m']","['339.5lbs', '154.0kg']","['Rock', 'Psychic']",['Levitate'],460,90,95,85,55,65,70
#339,Barboach,Whiskers Pokémon,"['1\'04""', '0.4m']","['4.2lbs', '1.9kg']","['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']",288,50,48,43,46,41,60
#340,Whiscash,Whiskers Pokémon,"['2\'11""', '0.9m']","['52.0lbs', '23.6kg']","['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']",468,110,78,73,76,71,60
#341,Corphish,Ruffian Pokémon,"['2\'00""', '0.6m']","['25.4lbs', '11.5kg']",['Water'],"['Hyper Cutter', 'Shell Armor', 'Adaptability']",308,43,80,65,50,35,35
#342,Crawdaunt,Rogue Pokémon,"['3\'07""', '1.1m']","['72.3lbs', '32.8kg']","['Water', 'Dark']","['Hyper Cutter', 'Shell Armor', 'Adaptability']",468,63,120,85,90,55,55
#343,Baltoy,Clay Doll Pokémon,"['1\'08""', '0.5m']","['47.4lbs', '21.5kg']","['Ground', 'Psychic']",['Levitate'],300,40,40,55,40,70,55
#344,Claydol,Clay Doll Pokémon,"['4\'11""', '1.5m']","['238.1lbs', '108.0kg']","['Ground', 'Psychic']",['Levitate'],500,60,70,105,70,120,75
#345,Lileep,Sea Lily Pokémon,"['3\'03""', '1.0m']","['52.5lbs', '23.8kg']","['Rock', 'Grass']","['Suction Cups', 'Storm Drain']",355,66,41,77,61,87,23
#346,Cradily,Barnacle Pokémon,"['4\'11""', '1.5m']","['133.2lbs', '60.4kg']","['Rock', 'Grass']","['Suction Cups', 'Storm Drain']",495,86,81,97,81,107,43
#347,Anorith,Old Shrimp Pokémon,"['2\'04""', '0.7m']","['27.6lbs', '12.5kg']","['Rock', 'Bug']","['Battle Armor', 'Swift Swim']",355,45,95,50,40,50,75
#348,Armaldo,Plate Pokémon,"['4\'11""', '1.5m']","['150.4lbs', '68.2kg']","['Rock', 'Bug']","['Battle Armor', 'Swift Swim']",495,75,125,100,70,80,45
#349,Feebas,Fish Pokémon,"['2\'00""', '0.6m']","['16.3lbs', '7.4kg']",['Water'],"['Swift Swim', 'Oblivious', 'Adaptability']",200,20,15,20,10,55,80
#350,Milotic,Tender Pokémon,"['20\'04""', '6.2m']","['357.1lbs', '162.0kg']",['Water'],"['Marvel Scale', 'Competitive', 'Cute Charm']",540,95,60,79,100,125,81
#351,Castform,Weather Pokémon,"['1\'00""', '0.3m']","['1.8lbs', '0.8kg']",['Normal'],['Forecast'],420,70,70,70,70,70,70
#352,Kecleon,Color Swap Pokémon,"['3\'03""', '1m']","['48.5lbs', '22kg']",['Normal'],"['Color Change', 'Protean']",440,60,90,70,60,120,40
#353,Shuppet,Puppet Pokémon,"['2\'00""', '0.6m']","['5.1lbs', '2.3kg']",['Ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",295,44,75,35,63,33,45
#354,Banette,Marionette Pokémon,"['3\'07""', '1.1m']","['27.6lbs', '12.5kg']",['Ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",455,64,115,65,83,63,65
#355,Duskull,Requiem Pokémon,"['2\'07""', '0.8m']","['33.1lbs', '15.0kg']",['Ghost'],"['Levitate', 'Frisk']",295,20,40,90,30,90,25
#356,Dusclops,Beckon Pokémon,"['5\'03""', '1.6m']","['67.5lbs', '30.6kg']",['Ghost'],"['Pressure', 'Frisk']",455,40,70,130,60,130,25
#357,Tropius,Fruit Pokémon,"['6\'07""', '2m']","['220.5lbs', '100kg']","['Grass', 'Flying']","['Chlorophyll', 'Solar Power', 'Harvest']",460,99,68,83,72,87,51
#358,Chimecho,Wind Chime Pokémon,"['2\'00""', '0.6m']","['2.2lbs', '1kg']",['Psychic'],['Levitate'],455,75,50,80,95,90,65
#359,Absol,Disaster Pokémon,"['3\'11""', '1.2m']","['103.6lbs', '47.0kg']",['Dark'],"['Pressure', 'Super Luck', 'Justified']",465,65,130,60,75,60,75
#360,Wynaut,Bright Pokémon,"['2\'00""', '0.6m']","['30.9lbs', '14.0kg']",['Psychic'],"['Shadow Tag', 'Telepathy']",260,95,23,48,23,48,23
#361,Snorunt,Snow Hat Pokémon,"['2\'04""', '0.7m']","['37.0lbs', '16.8kg']",['Ice'],"['Inner Focus', 'Ice Body', 'Moody']",300,50,50,50,50,50,50
#362,Glalie,Face Pokémon,"['4\'11""', '1.5m']","['565.5lbs', '256.5kg']",['Ice'],"['Inner Focus', 'Ice Body', 'Moody']",480,80,80,80,80,80,80
#363,Spheal,Clap Pokémon,"['2\'07""', '0.8m']","['87.1lbs', '39.5kg']","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",290,70,40,50,55,50,25
#364,Sealeo,Ball Roll Pokémon,"['3\'07""', '1.1m']","['193.1lbs', '87.6kg']","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",410,90,60,70,75,70,45
#365,Walrein,Ice Break Pokémon,"['4\'07""', '1.4m']","['332.0lbs', '150.6kg']","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",530,110,80,90,95,90,65
#366,Clamperl,Bivalve Pokémon,"['1\'04""', '0.4m']","['115.7lbs', '52.5kg']",['Water'],"['Shell Armor', 'Rattled']",345,35,64,85,74,55,32
#367,Huntail,Deep Sea Pokémon,"['5\'07""', '1.7m']","['59.5lbs', '27kg']",['Water'],"['Swift Swim', 'Water Veil']",485,55,104,105,94,75,52
#368,Gorebyss,South Sea Pokémon,"['5\'11""', '1.8m']","['49.8lbs', '22.6kg']",['Water'],"['Swift Swim', 'Hydration']",485,55,84,105,114,75,52
#369,Relicanth,Longevity Pokémon,"['3\'03""', '1.0m']","['51.6lbs', '23.4kg']","['Water', 'Rock']","['Swift Swim', 'Rock Head', 'Sturdy']",485,100,90,130,45,65,55
#370,Luvdisc,Rendezvous Pokémon,"['2\'00""', '0.6m']","['19.2lbs', '8.7kg']",['Water'],"['Swift Swim', 'Hydration']",330,43,30,55,40,65,97
#371,Bagon,Rock Head Pokémon,"['2\'00""', '0.6m']","['92.8lbs', '42.1kg']",['Dragon'],"['Rock Head', 'Sheer Force']",300,45,75,60,40,30,50
#372,Shelgon,Endurance Pokémon,"['3\'07""', '1.1m']","['243.6lbs', '110.5kg']",['Dragon'],"['Rock Head', 'Overcoat']",420,65,95,100,60,50,50
#373,Salamence,Dragon Pokémon,"['4\'11""', '1.5m']","['226.2lbs', '102.6kg']","['Dragon', 'Flying']","['Intimidate', 'Moxie']",600,95,135,80,110,80,100
#374,Beldum,Iron Ball Pokémon,"['2\'00""', '0.6m']","['209.9lbs', '95.2kg']","['Steel', 'Psychic']","['Clear Body', 'Light Metal']",300,40,55,80,35,60,30
#375,Metang,Iron Claw Pokémon,"['3\'11""', '1.2m']","['446.4lbs', '202.5kg']","['Steel', 'Psychic']","['Clear Body', 'Light Metal']",420,60,75,100,55,80,50
#376,Metagross,Iron Leg Pokémon,"['5\'03""', '1.6m']","['1212.5lbs', '550.0kg']","['Steel', 'Psychic']","['Clear Body', 'Light Metal']",600,80,135,130,95,90,70
#377,Regirock,Rock Peak Pokémon,"['5\'07""', '1.7m']","['507.1lbs', '230.0kg']",['Rock'],"['Clear Body', 'Sturdy']",580,80,100,200,50,100,50
#378,Regice,Iceberg Pokémon,"['5\'11""', '1.8m']","['385.8lbs', '175.0kg']",['Ice'],"['Clear Body', 'Ice Body']",580,80,50,100,100,200,50
#379,Registeel,Iron Pokémon,"['6\'03""', '1.9m']","['451.9lbs', '205.0kg']",['Steel'],"['Clear Body', 'Light Metal']",580,80,75,150,75,150,50
#380,Latias,Eon Pokémon,"['4\'07""', '1.4m']","['88.2lbs', '40.0kg']","['Dragon', 'Psychic']",['Levitate'],600,80,80,90,110,130,110
#381,Latios,Eon Pokémon,"['6\'07""', '2.0m']","['132.3lbs', '60.0kg']","['Dragon', 'Psychic']",['Levitate'],600,80,90,80,130,110,110
#382,Kyogre,Sea Basin Pokémon,"['14\'09""', '4.5m']","['776.0lbs', '352.0kg']",['Water'],['Drizzle'],670,100,100,90,150,140,90
#383,Groudon,Continent Pokémon,"['11\'06""', '3.5m']","['2094.4lbs', '950.0kg']",['Ground'],['Drought'],670,100,150,140,100,90,90
#384,Rayquaza,Sky High Pokémon,"['23\'00""', '7.0m']","['455.2lbs', '206.5kg']","['Dragon', 'Flying']",['Air Lock'],680,105,150,90,150,90,95
#385,Jirachi,Wish Pokémon,"['1\'00""', '0.3m']","['2.4lbs', '1.1kg']","['Steel', 'Psychic']",['Serene Grace'],600,100,100,100,100,100,100
#386,Deoxys,DNA Pokémon,"['5\'07""', '1.7m']","['134.0lbs', '60.8kg']",['Psychic'],['Pressure'],600,50,150,50,150,50,150
#387,Turtwig,Tiny Leaf Pokémon,"['1\'04""', '0.4m']","['22.5lbs', '10.2kg']",['Grass'],"['Overgrow', 'Shell Armor']",318,55,68,64,45,55,31
#388,Grotle,Grove Pokémon,"['3\'07""', '1.1m']","['213.8lbs', '97kg']",['Grass'],"['Overgrow', 'Shell Armor']",405,75,89,85,55,65,36
#389,Torterra,Continent Pokémon,"['7\'03""', '2.2m']","['683.4lbs', '310kg']","['Grass', 'Ground']","['Overgrow', 'Shell Armor']",525,95,109,105,75,85,56
#390,Chimchar,Chimp Pokémon,"['1\'08""', '0.5m']","['13.7lbs', '6.2kg']",['Fire'],"['Blaze', 'Iron Fist']",309,44,58,44,58,44,61
#391,Monferno,Playful Pokémon,"['2\'11""', '0.9m']","['48.5lbs', '22kg']","['Fire', 'Fighting']","['Blaze', 'Iron Fist']",405,64,78,52,78,52,81
#392,Infernape,Flame Pokémon,"['3\'11""', '1.2m']","['121.3lbs', '55kg']","['Fire', 'Fighting']","['Blaze', 'Iron Fist']",534,76,104,71,104,71,108
#393,Piplup,Penguin Pokémon,"['1\'04""', '0.4m']","['11.5lbs', '5.2kg']",['Water'],"['Torrent', 'Defiant']",314,53,51,53,61,56,40
#394,Prinplup,Penguin Pokémon,"['2\'07""', '0.8m']","['50.7lbs', '23kg']",['Water'],"['Torrent', 'Defiant']",405,64,66,68,81,76,50
#395,Empoleon,Emperor Pokémon,"['5\'07""', '1.7m']","['186.3lbs', '84.5kg']","['Water', 'Steel']","['Torrent', 'Defiant']",530,84,86,88,111,101,60
#396,Starly,Starling Pokémon,"['1\'00""', '0.3m']","['4.4lbs', '2kg']","['Normal', 'Flying']","['Keen Eye', 'Reckless']",245,40,55,30,30,30,60
#397,Staravia,Starling Pokémon,"['2\'00""', '0.6m']","['34.2lbs', '15.5kg']","['Normal', 'Flying']","['Intimidate', 'Reckless']",340,55,75,50,40,40,80
#398,Staraptor,Predator Pokémon,"['3\'11""', '1.2m']","['54.9lbs', '24.9kg']","['Normal', 'Flying']","['Intimidate', 'Reckless']",485,85,120,70,50,60,100
#399,Bidoof,Plump Mouse Pokémon,"['1\'08""', '0.5m']","['44.1lbs', '20kg']",['Normal'],"['Simple', 'Unaware', 'Moody']",250,59,45,40,35,40,31
#400,Bibarel,Beaver Pokémon,"['3\'03""', '1m']","['69.4lbs', '31.5kg']","['Normal', 'Water']","['Simple', 'Unaware', 'Moody']",410,79,85,60,55,60,71
#401,Kricketot,Cricket Pokémon,"['1\'00""', '0.3m']","['4.9lbs', '2.2kg']",['Bug'],"['Shed Skin', 'Run Away']",194,37,25,41,25,41,25
#402,Kricketune,Cricket Pokémon,"['3\'03""', '1m']","['56.2lbs', '25.5kg']",['Bug'],"['Swarm', 'Technician']",384,77,85,51,55,51,65
#403,Shinx,Flash Pokémon,"['1\'08""', '0.5m']","['20.9lbs', '9.5kg']",['Electric'],"['Rivalry', 'Intimidate', 'Guts']",263,45,65,34,40,34,45
#404,Luxio,Spark Pokémon,"['2\'11""', '0.9m']","['67.2lbs', '30.5kg']",['Electric'],"['Rivalry', 'Intimidate', 'Guts']",363,60,85,49,60,49,60
#405,Luxray,Gleam Eyes Pokémon,"['4\'07""', '1.4m']","['92.6lbs', '42.0kg']",['Electric'],"['Rivalry', 'Intimidate', 'Guts']",523,80,120,79,95,79,70
#406,Budew,Bud Pokémon,"['0\'08""', '0.2m']","['2.6lbs', '1.2kg']","['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",280,40,30,35,50,70,55
#407,Roserade,Bouquet Pokémon,"['2\'11""', '0.9m']","['32.0lbs', '14.5kg']","['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Technician']",515,60,70,65,125,105,90
#408,Cranidos,Head Butt Pokémon,"['2\'11""', '0.9m']","['69.4lbs', '31.5kg']",['Rock'],"['Mold Breaker', 'Sheer Force']",350,67,125,40,30,30,58
#409,Rampardos,Head Butt Pokémon,"['5\'03""', '1.6m']","['226.0lbs', '102.5kg']",['Rock'],"['Mold Breaker', 'Sheer Force']",495,97,165,60,65,50,58
#410,Shieldon,Shield Pokémon,"['1\'08""', '0.5m']","['125.7lbs', '57kg']","['Rock', 'Steel']","['Sturdy', 'Soundproof']",350,30,42,118,42,88,30
#411,Bastiodon,Shield Pokémon,"['4\'03""', '1.3m']","['329.6lbs', '149.5kg']","['Rock', 'Steel']","['Sturdy', 'Soundproof']",495,60,52,168,47,138,30
#412,Burmy,Bagworm Pokémon,"['0\'08""', '0.2m']","['7.5lbs', '3.4kg']",['Bug'],"['Shed Skin', 'Overcoat']",224,40,29,45,29,45,36
#413,Wormadam,Bagworm Pokémon,"['1\'08""', '0.5m']","['14.3lbs', '6.5kg']","['Bug', 'Grass']","['Anticipation', 'Overcoat']",424,60,59,85,79,105,36
#414,Mothim,Moth Pokémon,"['2\'11""', '0.9m']","['51.4lbs', '23.3kg']","['Bug', 'Flying']","['Swarm', 'Tinted Lens']",424,70,94,50,94,50,66
#415,Combee,Tiny Bee Pokémon,"['1\'00""', '0.3m']","['12.1lbs', '5.5kg']","['Bug', 'Flying']","['Honey Gather', 'Hustle']",244,30,30,42,30,42,70
#416,Vespiquen,Beehive Pokémon,"['3\'11""', '1.2m']","['84.9lbs', '38.5kg']","['Bug', 'Flying']","['Pressure', 'Unnerve']",474,70,80,102,80,102,40
#417,Pachirisu,EleSquirrel Pokémon,"['1\'04""', '0.4m']","['8.6lbs', '3.9kg']",['Electric'],"['Run Away', 'Pickup', 'Volt Absorb']",405,60,45,70,45,90,95
#418,Buizel,Sea Weasel Pokémon,"['2\'04""', '0.7m']","['65.0lbs', '29.5kg']",['Water'],"['Swift Swim', 'Water Veil']",330,55,65,35,60,30,85
#419,Floatzel,Sea Weasel Pokémon,"['3\'07""', '1.1m']","['73.9lbs', '33.5kg']",['Water'],"['Swift Swim', 'Water Veil']",495,85,105,55,85,50,115
#420,Cherubi,Cherry Pokémon,"['1\'04""', '0.4m']","['7.3lbs', '3.3kg']",['Grass'],['Chlorophyll'],275,45,35,45,62,53,35
#421,Cherrim,Blossom Pokémon,"['1\'08""', '0.5m']","['20.5lbs', '9.3kg']",['Grass'],['Flower Gift'],450,70,60,70,87,78,85
#422,Shellos,Sea Slug Pokémon,"['1\'00""', '0.3m']","['13.9lbs', '6.3kg']",['Water'],"['Sticky Hold', 'Storm Drain', 'Sand Force']",325,76,48,48,57,62,34
#423,Gastrodon,Sea Slug Pokémon,"['2\'11""', '0.9m']","['65.9lbs', '29.9kg']","['Water', 'Ground']","['Sticky Hold', 'Storm Drain', 'Sand Force']",475,111,83,68,92,82,39
#424,Ambipom,Long Tail Pokémon,"['3\'11""', '1.2m']","['44.8lbs', '20.3kg']",['Normal'],"['Technician', 'Pickup', 'Skill Link']",482,75,100,66,60,66,115
#425,Drifloon,Balloon Pokémon,"['1\'04""', '0.4m']","['2.6lbs', '1.2kg']","['Ghost', 'Flying']","['Aftermath', 'Unburden', 'Flare Boost']",348,90,50,34,60,44,70
#426,Drifblim,Blimp Pokémon,"['3\'11""', '1.2m']","['33.1lbs', '15.0kg']","['Ghost', 'Flying']","['Aftermath', 'Unburden', 'Flare Boost']",498,150,80,44,90,54,80
#427,Buneary,Rabbit Pokémon,"['1\'04""', '0.4m']","['12.1lbs', '5.5kg']",['Normal'],"['Run Away', 'Klutz', 'Limber']",350,55,66,44,44,56,85
#428,Lopunny,Rabbit Pokémon,"['3\'11""', '1.2m']","['73.4lbs', '33.3kg']",['Normal'],"['Cute Charm', 'Klutz', 'Limber']",480,65,76,84,54,96,105
#429,Mismagius,Magical Pokémon,"['2\'11""', '0.9m']","['9.7lbs', '4.4kg']",['Ghost'],['Levitate'],495,60,60,60,105,105,105
#430,Honchkrow,Big Boss Pokémon,"['2\'11""', '0.9m']","['60.2lbs', '27.3kg']","['Dark', 'Flying']","['Insomnia', 'Super Luck', 'Moxie']",505,100,125,52,105,52,71
#431,Glameow,Catty Pokémon,"['1\'08""', '0.5m']","['8.6lbs', '3.9kg']",['Normal'],"['Limber', 'Own Tempo', 'Keen Eye']",310,49,55,42,42,37,85
#432,Purugly,Tiger Cat Pokémon,"['3\'03""', '1m']","['96.6lbs', '43.8kg']",['Normal'],"['Thick Fat', 'Own Tempo', 'Defiant']",452,71,82,64,64,59,112
#433,Chingling,Bell Pokémon,"['0\'08""', '0.2m']","['1.3lbs', '0.6kg']",['Psychic'],['Levitate'],285,45,30,50,65,50,45
#434,Stunky,Skunk Pokémon,"['1\'04""', '0.4m']","['42.3lbs', '19.2kg']","['Poison', 'Dark']","['Stench', 'Aftermath', 'Keen Eye']",329,63,63,47,41,41,74
#435,Skuntank,Skunk Pokémon,"['3\'03""', '1.0m']","['83.8lbs', '38.0kg']","['Poison', 'Dark']","['Stench', 'Aftermath', 'Keen Eye']",479,103,93,67,71,61,84
