number,name,sprite,class,height,weight,type1,type2,ability1,ability2,ability3,bst,hp,attack,defense,sp_attack,sp_defense,speed
352,Kecleon,require('../sprites/352.png'),Color Swap Pokémon,1m,22kg,Normal,,Color Change,Protean,,440,60,90,70,60,120,40
353,Shuppet,require('../sprites/353.png'),Puppet Pokémon,0.6m,2.3kg,Ghost,,Insomnia,Frisk,Cursed Body,295,44,75,35,63,33,45
354,Banette,require('../sprites/354.png'),Marionette Pokémon,1.1m,12.5kg,Ghost,,Insomnia,Frisk,Cursed Body,455,64,115,65,83,63,65
355,Duskull,require('../sprites/355.png'),Requiem Pokémon,0.8m,15.0kg,Ghost,,Levitate,Frisk,,295,20,40,90,30,90,25
356,Dusclops,require('../sprites/356.png'),Beckon Pokémon,1.6m,30.6kg,Ghost,,Pressure,Frisk,,455,40,70,130,60,130,25
357,Tropius,require('../sprites/357.png'),Fruit Pokémon,2m,100kg,Grass,Flying,Chlorophyll,Solar Power,Harvest,460,99,68,83,72,87,51
358,Chimecho,require('../sprites/358.png'),Wind Chime Pokémon,0.6m,1kg,Psychic,,Levitate,,,455,75,50,80,95,90,65
359,Absol,require('../sprites/359.png'),Disaster Pokémon,1.2m,47.0kg,Dark,,Pressure,Super Luck,Justified,465,65,130,60,75,60,75
360,Wynaut,require('../sprites/360.png'),Bright Pokémon,0.6m,14.0kg,Psychic,,Shadow Tag,Telepathy,,260,95,23,48,23,48,23
361,Snorunt,require('../sprites/361.png'),Snow Hat Pokémon,0.7m,16.8kg,Ice,,Inner Focus,Ice Body,Moody,300,50,50,50,50,50,50
362,Glalie,require('../sprites/362.png'),Face Pokémon,1.5m,256.5kg,Ice,,Inner Focus,Ice Body,Moody,480,80,80,80,80,80,80
363,Spheal,require('../sprites/363.png'),Clap Pokémon,0.8m,39.5kg,Ice,Water,Thick Fat,Ice Body,Oblivious,290,70,40,50,55,50,25
364,Sealeo,require('../sprites/364.png'),Ball Roll Pokémon,1.1m,87.6kg,Ice,Water,Thick Fat,Ice Body,Oblivious,410,90,60,70,75,70,45
365,Walrein,require('../sprites/365.png'),Ice Break Pokémon,1.4m,150.6kg,Ice,Water,Thick Fat,Ice Body,Oblivious,530,110,80,90,95,90,65
366,Clamperl,require('../sprites/366.png'),Bivalve Pokémon,0.4m,52.5kg,Water,,Shell Armor,Rattled,,345,35,64,85,74,55,32
367,Huntail,require('../sprites/367.png'),Deep Sea Pokémon,1.7m,27kg,Water,,Swift Swim,Water Veil,,485,55,104,105,94,75,52
368,Gorebyss,require('../sprites/368.png'),South Sea Pokémon,1.8m,22.6kg,Water,,Swift Swim,Hydration,,485,55,84,105,114,75,52
369,Relicanth,require('../sprites/369.png'),Longevity Pokémon,1.0m,23.4kg,Water,Rock,Swift Swim,Rock Head,Sturdy,485,100,90,130,45,65,55
370,Luvdisc,require('../sprites/370.png'),Rendezvous Pokémon,0.6m,8.7kg,Water,,Swift Swim,Hydration,,330,43,30,55,40,65,97
371,Bagon,require('../sprites/371.png'),Rock Head Pokémon,0.6m,42.1kg,Dragon,,Rock Head,Sheer Force,,300,45,75,60,40,30,50
372,Shelgon,require('../sprites/372.png'),Endurance Pokémon,1.1m,110.5kg,Dragon,,Rock Head,Overcoat,,420,65,95,100,60,50,50
373,Salamence,require('../sprites/373.png'),Dragon Pokémon,1.5m,102.6kg,Dragon,Flying,Intimidate,Moxie,,600,95,135,80,110,80,100
374,Beldum,require('../sprites/374.png'),Iron Ball Pokémon,0.6m,95.2kg,Steel,Psychic,Clear Body,Light Metal,,300,40,55,80,35,60,30
375,Metang,require('../sprites/375.png'),Iron Claw Pokémon,1.2m,202.5kg,Steel,Psychic,Clear Body,Light Metal,,420,60,75,100,55,80,50
376,Metagross,require('../sprites/376.png'),Iron Leg Pokémon,1.6m,550.0kg,Steel,Psychic,Clear Body,Light Metal,,600,80,135,130,95,90,70
377,Regirock,require('../sprites/377.png'),Rock Peak Pokémon,1.7m,230.0kg,Rock,,Clear Body,Sturdy,,580,80,100,200,50,100,50
378,Regice,require('../sprites/378.png'),Iceberg Pokémon,1.8m,175.0kg,Ice,,Clear Body,Ice Body,,580,80,50,100,100,200,50
379,Registeel,require('../sprites/379.png'),Iron Pokémon,1.9m,205.0kg,Steel,,Clear Body,Light Metal,,580,80,75,150,75,150,50
380,Latias,require('../sprites/380.png'),Eon Pokémon,1.4m,40.0kg,Dragon,Psychic,Levitate,,,600,80,80,90,110,130,110
381,Latios,require('../sprites/381.png'),Eon Pokémon,2.0m,60.0kg,Dragon,Psychic,Levitate,,,600,80,90,80,130,110,110
382,Kyogre,require('../sprites/382.png'),Sea Basin Pokémon,4.5m,352.0kg,Water,,Drizzle,,,670,100,100,90,150,140,90
383,Groudon,require('../sprites/383.png'),Continent Pokémon,3.5m,950.0kg,Ground,,Drought,,,670,100,150,140,100,90,90
384,Rayquaza,require('../sprites/384.png'),Sky High Pokémon,7.0m,206.5kg,Dragon,Flying,Air Lock,,,680,105,150,90,150,90,95
385,Jirachi,require('../sprites/385.png'),Wish Pokémon,0.3m,1.1kg,Steel,Psychic,Serene Grace,,,600,100,100,100,100,100,100
386,Deoxys,require('../sprites/386.png'),DNA Pokémon,1.7m,60.8kg,Psychic,,Pressure,,,600,50,150,50,150,50,150
387,Turtwig,require('../sprites/387.png'),Tiny Leaf Pokémon,0.4m,10.2kg,Grass,,Overgrow,Shell Armor,,318,55,68,64,45,55,31
388,Grotle,require('../sprites/388.png'),Grove Pokémon,1.1m,97kg,Grass,,Overgrow,Shell Armor,,405,75,89,85,55,65,36
389,Torterra,require('../sprites/389.png'),Continent Pokémon,2.2m,310kg,Grass,Ground,Overgrow,Shell Armor,,525,95,109,105,75,85,56
390,Chimchar,require('../sprites/390.png'),Chimp Pokémon,0.5m,6.2kg,Fire,,Blaze,Iron Fist,,309,44,58,44,58,44,61
391,Monferno,require('../sprites/391.png'),Playful Pokémon,0.9m,22kg,Fire,Fighting,Blaze,Iron Fist,,405,64,78,52,78,52,81
392,Infernape,require('../sprites/392.png'),Flame Pokémon,1.2m,55kg,Fire,Fighting,Blaze,Iron Fist,,534,76,104,71,104,71,108
393,Piplup,require('../sprites/393.png'),Penguin Pokémon,0.4m,5.2kg,Water,,Torrent,Defiant,,314,53,51,53,61,56,40
394,Prinplup,require('../sprites/394.png'),Penguin Pokémon,0.8m,23kg,Water,,Torrent,Defiant,,405,64,66,68,81,76,50
395,Empoleon,require('../sprites/395.png'),Emperor Pokémon,1.7m,84.5kg,Water,Steel,Torrent,Defiant,,530,84,86,88,111,101,60
396,Starly,require('../sprites/396.png'),Starling Pokémon,0.3m,2kg,Normal,Flying,Keen Eye,Reckless,,245,40,55,30,30,30,60
397,Staravia,require('../sprites/397.png'),Starling Pokémon,0.6m,15.5kg,Normal,Flying,Intimidate,Reckless,,340,55,75,50,40,40,80
398,Staraptor,require('../sprites/398.png'),Predator Pokémon,1.2m,24.9kg,Normal,Flying,Intimidate,Reckless,,485,85,120,70,50,60,100
399,Bidoof,require('../sprites/399.png'),Plump Mouse Pokémon,0.5m,20kg,Normal,,Simple,Unaware,Moody,250,59,45,40,35,40,31
400,Bibarel,require('../sprites/400.png'),Beaver Pokémon,1m,31.5kg,Normal,Water,Simple,Unaware,Moody,410,79,85,60,55,60,71
401,Kricketot,require('../sprites/401.png'),Cricket Pokémon,0.3m,2.2kg,Bug,,Shed Skin,Run Away,,194,37,25,41,25,41,25
402,Kricketune,require('../sprites/402.png'),Cricket Pokémon,1m,25.5kg,Bug,,Swarm,Technician,,384,77,85,51,55,51,65
403,Shinx,require('../sprites/403.png'),Flash Pokémon,0.5m,9.5kg,Electric,,Rivalry,Intimidate,Guts,263,45,65,34,40,34,45
404,Luxio,require('../sprites/404.png'),Spark Pokémon,0.9m,30.5kg,Electric,,Rivalry,Intimidate,Guts,363,60,85,49,60,49,60
405,Luxray,require('../sprites/405.png'),Gleam Eyes Pokémon,1.4m,42.0kg,Electric,,Rivalry,Intimidate,Guts,523,80,120,79,95,79,70
406,Budew,require('../sprites/406.png'),Bud Pokémon,0.2m,1.2kg,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,280,40,30,35,50,70,55
407,Roserade,require('../sprites/407.png'),Bouquet Pokémon,0.9m,14.5kg,Grass,Poison,Natural Cure,Poison Point,Technician,515,60,70,65,125,105,90
408,Cranidos,require('../sprites/408.png'),Head Butt Pokémon,0.9m,31.5kg,Rock,,Mold Breaker,Sheer Force,,350,67,125,40,30,30,58
409,Rampardos,require('../sprites/409.png'),Head Butt Pokémon,1.6m,102.5kg,Rock,,Mold Breaker,Sheer Force,,495,97,165,60,65,50,58
410,Shieldon,require('../sprites/410.png'),Shield Pokémon,0.5m,57kg,Rock,Steel,Sturdy,Soundproof,,350,30,42,118,42,88,30
411,Bastiodon,require('../sprites/411.png'),Shield Pokémon,1.3m,149.5kg,Rock,Steel,Sturdy,Soundproof,,495,60,52,168,47,138,30
412,Burmy,require('../sprites/412.png'),Bagworm Pokémon,0.2m,3.4kg,Bug,,Shed Skin,Overcoat,,224,40,29,45,29,45,36
413,Wormadam,require('../sprites/413.png'),Bagworm Pokémon,0.5m,6.5kg,Bug,Grass,Anticipation,Overcoat,,424,60,59,85,79,105,36
414,Mothim,require('../sprites/414.png'),Moth Pokémon,0.9m,23.3kg,Bug,Flying,Swarm,Tinted Lens,,424,70,94,50,94,50,66
415,Combee,require('../sprites/415.png'),Tiny Bee Pokémon,0.3m,5.5kg,Bug,Flying,Honey Gather,Hustle,,244,30,30,42,30,42,70
416,Vespiquen,require('../sprites/416.png'),Beehive Pokémon,1.2m,38.5kg,Bug,Flying,Pressure,Unnerve,,474,70,80,102,80,102,40
417,Pachirisu,require('../sprites/417.png'),EleSquirrel Pokémon,0.4m,3.9kg,Electric,,Run Away,Pickup,Volt Absorb,405,60,45,70,45,90,95
418,Buizel,require('../sprites/418.png'),Sea Weasel Pokémon,0.7m,29.5kg,Water,,Swift Swim,Water Veil,,330,55,65,35,60,30,85
419,Floatzel,require('../sprites/419.png'),Sea Weasel Pokémon,1.1m,33.5kg,Water,,Swift Swim,Water Veil,,495,85,105,55,85,50,115
420,Cherubi,require('../sprites/420.png'),Cherry Pokémon,0.4m,3.3kg,Grass,,Chlorophyll,,,275,45,35,45,62,53,35
421,Cherrim,require('../sprites/421.png'),Blossom Pokémon,0.5m,9.3kg,Grass,,Flower Gift,,,450,70,60,70,87,78,85
422,Shellos,require('../sprites/422.png'),Sea Slug Pokémon,0.3m,6.3kg,Water,,Sticky Hold,Storm Drain,Sand Force,325,76,48,48,57,62,34
423,Gastrodon,require('../sprites/423.png'),Sea Slug Pokémon,0.9m,29.9kg,Water,Ground,Sticky Hold,Storm Drain,Sand Force,475,111,83,68,92,82,39
424,Ambipom,require('../sprites/424.png'),Long Tail Pokémon,1.2m,20.3kg,Normal,,Technician,Pickup,Skill Link,482,75,100,66,60,66,115
425,Drifloon,require('../sprites/425.png'),Balloon Pokémon,0.4m,1.2kg,Ghost,Flying,Aftermath,Unburden,Flare Boost,348,90,50,34,60,44,70
426,Drifblim,require('../sprites/426.png'),Blimp Pokémon,1.2m,15.0kg,Ghost,Flying,Aftermath,Unburden,Flare Boost,498,150,80,44,90,54,80
427,Buneary,require('../sprites/427.png'),Rabbit Pokémon,0.4m,5.5kg,Normal,,Run Away,Klutz,Limber,350,55,66,44,44,56,85
428,Lopunny,require('../sprites/428.png'),Rabbit Pokémon,1.2m,33.3kg,Normal,,Cute Charm,Klutz,Limber,480,65,76,84,54,96,105
429,Mismagius,require('../sprites/429.png'),Magical Pokémon,0.9m,4.4kg,Ghost,,Levitate,,,495,60,60,60,105,105,105
430,Honchkrow,require('../sprites/430.png'),Big Boss Pokémon,0.9m,27.3kg,Dark,Flying,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71
431,Glameow,require('../sprites/431.png'),Catty Pokémon,0.5m,3.9kg,Normal,,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85
432,Purugly,require('../sprites/432.png'),Tiger Cat Pokémon,1m,43.8kg,Normal,,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112
433,Chingling,require('../sprites/433.png'),Bell Pokémon,0.2m,0.6kg,Psychic,,Levitate,,,285,45,30,50,65,50,45
434,Stunky,require('../sprites/434.png'),Skunk Pokémon,0.4m,19.2kg,Poison,Dark,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74
435,Skuntank,require('../sprites/435.png'),Skunk Pokémon,1.0m,38.0kg,Poison,Dark,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84
436,Bronzor,require('../sprites/436.png'),Bronze Pokémon,0.5m,60.5kg,Steel,Psychic,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23
437,Bronzong,require('../sprites/437.png'),Bronze Bell Pokémon,1.3m,187.0kg,Steel,Psychic,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33
438,Bonsly,require('../sprites/438.png'),Bonsai Pokémon,0.5m,15.0kg,Rock,,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10
439,Mime Jr.,require('../sprites/439.png'),Mime Pokémon,0.6m,13.0kg,Psychic,Fairy,Soundproof,Filter,Technician,310,20,25,45,70,90,60
440,Happiny,require('../sprites/440.png'),Playhouse Pokémon,0.6m,24.4kg,Normal,,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30
441,Chatot,require('../sprites/441.png'),Music Note Pokémon,0.5m,1.9kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91
442,Spiritomb,require('../sprites/442.png'),Forbidden Pokémon,1.0m,108.0kg,Ghost,Dark,Pressure,Infiltrator,,485,50,92,108,92,108,35
443,Gible,require('../sprites/443.png'),Land Shark Pokémon,0.7m,20.5kg,Dragon,Ground,Sand Veil,Rough Skin,,300,58,70,45,40,45,42
444,Gabite,require('../sprites/444.png'),Cave Pokémon,1.4m,56.0kg,Dragon,Ground,Sand Veil,Rough Skin,,410,68,90,65,50,55,82
445,Garchomp,require('../sprites/445.png'),Mach Pokémon,1.9m,95.0kg,Dragon,Ground,Sand Veil,Rough Skin,,600,108,130,95,80,85,102
446,Munchlax,require('../sprites/446.png'),Big Eater Pokémon,0.6m,105.0kg,Normal,,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5
447,Riolu,require('../sprites/447.png'),Emanation Pokémon,0.7m,20.2kg,Fighting,,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60
448,Lucario,require('../sprites/448.png'),Aura Pokémon,1.2m,54.0kg,Fighting,Steel,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90
449,Hippopotas,require('../sprites/449.png'),Hippo Pokémon,0.8m,49.5kg,Ground,,Sand Stream,Sand Force,,330,68,72,78,38,42,32
450,Hippowdon,require('../sprites/450.png'),Heavyweight Pokémon,2.0m,300.0kg,Ground,,Sand Stream,Sand Force,,525,108,112,118,68,72,47
451,Skorupi,require('../sprites/451.png'),Scorpion Pokémon,0.8m,12.0kg,Poison,Bug,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65
452,Drapion,require('../sprites/452.png'),Ogre Scorp Pokémon,1.3m,61.5kg,Poison,Dark,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95
453,Croagunk,require('../sprites/453.png'),Toxic Mouth Pokémon,0.7m,23.0kg,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50
454,Toxicroak,require('../sprites/454.png'),Toxic Mouth Pokémon,1.3m,44.4kg,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85
455,Carnivine,require('../sprites/455.png'),Bug Catcher Pokémon,1.4m,27kg,Grass,,Levitate,,,454,74,100,72,90,72,46
456,Finneon,require('../sprites/456.png'),Wing Fish Pokémon,0.4m,7kg,Water,,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66
457,Lumineon,require('../sprites/457.png'),Neon Pokémon,1.2m,24kg,Water,,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91
458,Mantyke,require('../sprites/458.png'),Kite Pokémon,1.0m,65.0kg,Water,Flying,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50
459,Snover,require('../sprites/459.png'),Frosted Tree Pokémon,1.0m,50.5kg,Grass,Ice,Snow Warning,Soundproof,,334,60,62,50,62,60,40
460,Abomasnow,require('../sprites/460.png'),Frosted Tree Pokémon,2.2m,135.5kg,Grass,Ice,Snow Warning,Soundproof,,494,90,92,75,92,85,60
461,Weavile,require('../sprites/461.png'),Sharp Claw Pokémon,1.1m,34.0kg,Dark,Ice,Pressure,Pickpocket,,510,70,120,65,45,85,125
462,Magnezone,require('../sprites/462.png'),Magnet Area Pokémon,1.2m,180.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60
463,Lickilicky,require('../sprites/463.png'),Licking Pokémon,1.7m,140.0kg,Normal,,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50
464,Rhyperior,require('../sprites/464.png'),Drill Pokémon,2.4m,282.8kg,Ground,Rock,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40
465,Tangrowth,require('../sprites/465.png'),Vine Pokémon,2.0m,128.6kg,Grass,,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50
466,Electivire,require('../sprites/466.png'),Thunderbolt Pokémon,1.8m,138.6kg,Electric,,Motor Drive,Vital Spirit,,540,75,123,67,95,85,95
467,Magmortar,require('../sprites/467.png'),Blast Pokémon,1.6m,68.0kg,Fire,,Flame Body,Vital Spirit,,540,75,95,67,125,95,83
468,Togekiss,require('../sprites/468.png'),Jubilee Pokémon,1.5m,38.0kg,Fairy,Flying,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80
469,Yanmega,require('../sprites/469.png'),Ogre Darner Pokémon,1.9m,51.5kg,Bug,Flying,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95
470,Leafeon,require('../sprites/470.png'),Verdant Pokémon,1.0m,25.5kg,Grass,,Leaf Guard,Chlorophyll,,525,65,110,130,60,65,95
471,Glaceon,require('../sprites/471.png'),Fresh Snow Pokémon,0.8m,25.9kg,Ice,,Snow Cloak,Ice Body,,525,65,60,110,130,95,65
472,Gliscor,require('../sprites/472.png'),Fang Scorp Pokémon,2m,42.5kg,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95
473,Mamoswine,require('../sprites/473.png'),Twin Tusk Pokémon,2.5m,291.0kg,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80
474,Porygon-Z,require('../sprites/474.png'),Virtual Pokémon,0.9m,34.0kg,Normal,,Adaptability,Download,Analytic,535,85,80,70,135,75,90
475,Gallade,require('../sprites/475.png'),Blade Pokémon,1.6m,52.0kg,Psychic,Fighting,Steadfast,Justified,,518,68,125,65,65,115,80
476,Probopass,require('../sprites/476.png'),Compass Pokémon,1.4m,340kg,Rock,Steel,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40
477,Dusknoir,require('../sprites/477.png'),Gripper Pokémon,2.2m,106.6kg,Ghost,,Pressure,Frisk,,525,45,100,135,65,135,45
478,Froslass,require('../sprites/478.png'),Snow Land Pokémon,1.3m,26.6kg,Ice,Ghost,Snow Cloak,Cursed Body,,480,70,80,70,80,70,110
479,Rotom,require('../sprites/479.png'),Plasma Pokémon,0.3m,0.3kg,Electric,Ghost,Levitate,,,440,50,50,77,95,77,91
480,Uxie,require('../sprites/480.png'),Knowledge Pokémon,0.3m,0.3kg,Psychic,,Levitate,,,580,75,75,130,75,130,95
481,Mesprit,require('../sprites/481.png'),Emotion Pokémon,0.3m,0.3kg,Psychic,,Levitate,,,580,80,105,105,105,105,80
482,Azelf,require('../sprites/482.png'),Willpower Pokémon,0.3m,0.3kg,Psychic,,Levitate,,,580,75,125,70,125,70,115
483,Dialga,require('../sprites/483.png'),Temporal Pokémon,5.4m,683.0kg,Steel,Dragon,Pressure,Telepathy,,680,100,120,120,150,100,90
484,Palkia,require('../sprites/484.png'),Spatial Pokémon,4.2m,336.0kg,Water,Dragon,Pressure,Telepathy,,680,90,120,100,150,120,100
485,Heatran,require('../sprites/485.png'),Lava Dome Pokémon,1.7m,430.0kg,Fire,Steel,Flash Fire,Flame Body,,600,91,90,106,130,106,77
486,Regigigas,require('../sprites/486.png'),Colossal Pokémon,3.7m,420.0kg,Normal,,Slow Start,,,670,110,160,110,80,110,100
487,Giratina,require('../sprites/487.png'),Renegade Pokémon,4.5m,750.0kg,Ghost,Dragon,Pressure,Telepathy,,680,150,100,120,100,120,90
488,Cresselia,require('../sprites/488.png'),Lunar Pokémon,1.5m,85.6kg,Psychic,,Levitate,,,600,120,70,120,75,130,85
489,Phione,require('../sprites/489.png'),Sea Drifter Pokémon,0.4m,3.1kg,Water,,Hydration,,,480,80,80,80,80,80,80
490,Manaphy,require('../sprites/490.png'),Seafaring Pokémon,0.3m,1.4kg,Water,,Hydration,,,600,100,100,100,100,100,100
491,Darkrai,require('../sprites/491.png'),Pitch-Black Pokémon,1.5m,50.5kg,Dark,,Bad Dreams,,,600,70,90,90,135,90,125
492,Shaymin,require('../sprites/492.png'),Gratitude Pokémon,0.2m,2.1kg,Grass,,Natural Cure,,,600,100,100,100,100,100,100
493,Arceus,require('../sprites/493.png'),Alpha Pokémon,3.2m,320kg,Normal,,Multitype,,,720,120,120,120,120,120,120
494,Victini,require('../sprites/494.png'),Victory Pokémon,0.4m,4.0kg,Psychic,Fire,Victory Star,,,600,100,100,100,100,100,100
495,Snivy,require('../sprites/495.png'),Grass Snake Pokémon,0.6m,8.1kg,Grass,,Overgrow,Contrary,,308,45,45,55,45,55,63
496,Servine,require('../sprites/496.png'),Grass Snake Pokémon,0.8m,16kg,Grass,,Overgrow,Contrary,,413,60,60,75,60,75,83
497,Serperior,require('../sprites/497.png'),Regal Pokémon,3.3m,63kg,Grass,,Overgrow,Contrary,,528,75,75,95,75,95,113
498,Tepig,require('../sprites/498.png'),Fire Pig Pokémon,0.5m,9.9kg,Fire,,Blaze,Thick Fat,,308,65,63,45,45,45,45
499,Pignite,require('../sprites/499.png'),Fire Pig Pokémon,1m,55.5kg,Fire,Fighting,Blaze,Thick Fat,,418,90,93,55,70,55,55
500,Emboar,require('../sprites/500.png'),Mega Fire Pig Pokémon,1.6m,150kg,Fire,Fighting,Blaze,Reckless,,528,110,123,65,100,65,65
501,Oshawott,require('../sprites/501.png'),Sea Otter Pokémon,0.5m,5.9kg,Water,,Torrent,Shell Armor,,308,55,55,45,63,45,45
502,Dewott,require('../sprites/502.png'),Discipline Pokémon,0.8m,24.5kg,Water,,Torrent,Shell Armor,,413,75,75,60,83,60,60
503,Samurott,require('../sprites/503.png'),Formidable Pokémon,1.5m,94.6kg,Water,,Torrent,Shell Armor,,528,95,100,85,108,70,70
504,Patrat,require('../sprites/504.png'),Scout Pokémon,0.5m,11.6kg,Normal,,Run Away,Keen Eye,Analytic,255,45,55,39,35,39,42
505,Watchog,require('../sprites/505.png'),Lookout Pokémon,1.1m,27kg,Normal,,Illuminate,Keen Eye,Analytic,420,60,85,69,60,69,77
506,Lillipup,require('../sprites/506.png'),Puppy Pokémon,0.4m,4.1kg,Normal,,Vital Spirit,Pickup,Run Away,275,45,60,45,25,45,55
507,Herdier,require('../sprites/507.png'),Loyal Dog Pokémon,0.9m,14.7kg,Normal,,Intimidate,Sand Rush,Scrappy,370,65,80,65,35,65,60
508,Stoutland,require('../sprites/508.png'),Big-Hearted Pokémon,1.2m,61.0kg,Normal,,Intimidate,Sand Rush,Scrappy,500,85,110,90,45,90,80
509,Purrloin,require('../sprites/509.png'),Devious Pokémon,0.4m,10.1kg,Dark,,Limber,Unburden,Prankster,281,41,50,37,50,37,66
510,Liepard,require('../sprites/510.png'),Cruel Pokémon,1.1m,37.5kg,Dark,,Limber,Unburden,Prankster,446,64,88,50,88,50,106
511,Pansage,require('../sprites/511.png'),Grass Monkey Pokémon,0.6m,10.5kg,Grass,,Gluttony,Overgrow,,316,50,53,48,53,48,64
512,Simisage,require('../sprites/512.png'),Thorn Monkey Pokémon,1.1m,30.5kg,Grass,,Gluttony,Overgrow,,498,75,98,63,98,63,101
513,Pansear,require('../sprites/513.png'),High Temp Pokémon,0.6m,11kg,Fire,,Gluttony,Blaze,,316,50,53,48,53,48,64
514,Simisear,require('../sprites/514.png'),Ember Pokémon,1m,28kg,Fire,,Gluttony,Blaze,,498,75,98,63,98,63,101
515,Panpour,require('../sprites/515.png'),Spray Pokémon,0.6m,13.5kg,Water,,Gluttony,Torrent,,316,50,53,48,53,48,64
516,Simipour,require('../sprites/516.png'),Geyser Pokémon,1m,29kg,Water,,Gluttony,Torrent,,498,75,98,63,98,63,101
517,Munna,require('../sprites/517.png'),Dream Eater Pokémon,0.6m,23.3kg,Psychic,,Forewarn,Synchronize,Telepathy,292,76,25,45,67,55,24
518,Musharna,require('../sprites/518.png'),Drowsing Pokémon,1.1m,60.5kg,Psychic,,Forewarn,Synchronize,Telepathy,487,116,55,85,107,95,29
519,Pidove,require('../sprites/519.png'),Tiny Pigeon Pokémon,0.3m,2.1kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,264,50,55,50,36,30,43
520,Tranquill,require('../sprites/520.png'),Wild Pigeon Pokémon,0.6m,15.0kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,358,62,77,62,50,42,65
521,Unfezant,require('../sprites/521.png'),Proud Pokémon,1.2m,29.0kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,488,80,115,80,65,55,93
522,Blitzle,require('../sprites/522.png'),Electrified Pokémon,0.8m,29.8kg,Electric,,Lightning Rod,Motor Drive,Sap Sipper,295,45,60,32,50,32,76
523,Zebstrika,require('../sprites/523.png'),Thunderbolt Pokémon,1.6m,79.5kg,Electric,,Lightning Rod,Motor Drive,Sap Sipper,497,75,100,63,80,63,116
524,Roggenrola,require('../sprites/524.png'),Mantle Pokémon,0.4m,18.0kg,Rock,,Sturdy,Weak Armor,Sand Force,280,55,75,85,25,25,15
525,Boldore,require('../sprites/525.png'),Ore Pokémon,0.9m,102.0kg,Rock,,Sturdy,Weak Armor,Sand Force,390,70,105,105,50,40,20
526,Gigalith,require('../sprites/526.png'),Compressed Pokémon,1.7m,260.0kg,Rock,,Sturdy,Sand Stream,Sand Force,515,85,135,130,60,80,25
527,Woobat,require('../sprites/527.png'),Bat Pokémon,0.4m,2.1kg,Psychic,Flying,Unaware,Klutz,Simple,323,65,45,43,55,43,72
528,Swoobat,require('../sprites/528.png'),Courting Pokémon,0.9m,10.5kg,Psychic,Flying,Unaware,Klutz,Simple,425,67,57,55,77,55,114
529,Drilbur,require('../sprites/529.png'),Mole Pokémon,0.3m,8.5kg,Ground,,Sand Rush,Sand Force,Mold Breaker,328,60,85,40,30,45,68
530,Excadrill,require('../sprites/530.png'),Subterrene Pokémon,0.7m,40.4kg,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,508,110,135,60,50,65,88
531,Audino,require('../sprites/531.png'),Hearing Pokémon,1.1m,31.0kg,Normal,,Healer,Regenerator,Klutz,445,103,60,86,60,86,50
532,Timburr,require('../sprites/532.png'),Muscular Pokémon,0.6m,12.5kg,Fighting,,Guts,Sheer Force,Iron Fist,305,75,80,55,25,35,35
533,Gurdurr,require('../sprites/533.png'),Muscular Pokémon,1.2m,40.0kg,Fighting,,Guts,Sheer Force,Iron Fist,405,85,105,85,40,50,40
534,Conkeldurr,require('../sprites/534.png'),Muscular Pokémon,1.4m,87.0kg,Fighting,,Guts,Sheer Force,Iron Fist,505,105,140,95,55,65,45
